feature,pr_auc_drop,std
log_market_value,0.10517593452240112,0.017200288382477575
leverage,0.05721377132534915,0.011437465350298168
log_total_assets,0.04395138291543005,0.01593498305157798
roa,0.033379792165253115,0.0072131720105516155
inventory_rev,0.023972775969096118,0.008967357270625512
log_revenue,0.0219791624099673,0.015378704348070345
retained_earnings_ta,0.019862765429123685,0.008026617295364418
ebit_ta,0.01595475094187665,0.007603623716622595
net_margin,0.013959712540170543,0.01129905122759585
rev_growth,0.01313266478319824,0.006515836321547065
mv_tl,0.011947241659133901,0.012625436634532186
working_capital_ta,0.01093308813220743,0.006366725050647367
assets_growth,0.008405850745616084,0.0060090236534907785
gross_margin,0.007621080241874756,0.0056839480895917085
ebitda_margin,0.007213796186034849,0.0027201733212017564
current_ratio,0.007026114056927479,0.0086132694625814
opex_rev,-0.0006256335317254335,0.005583061844933765
ni_delta_ta,-0.004037306739207935,0.008447295470842421
receivables_rev,-0.005910900886489856,0.006970636818979868
debt_ebitda,-0.020926988506081656,0.00804481410387926
