feature,gain
t_mv_tl,0.07398019
t_leverage,0.04309307
t_ebit_ta,0.040633403
t_net_margin,0.02404724
t-1_inventory_rev,0.022135798
t_roa,0.021857208
t-1_log_total_assets,0.021384208
t_receivables_rev,0.021246538
t-1_log_market_value,0.020855535
t_gross_margin,0.020737663
t_opex_rev,0.020666292
t-1_net_margin,0.019087182
t-1_receivables_rev,0.018792871
t_current_ratio,0.018070336
t-1_log_revenue,0.017926317
t_log_market_value,0.017824953
t-2_receivables_rev,0.017782629
t_debt_ebitda,0.017749608
t-2_log_market_value,0.017103847
t_log_revenue,0.016966362
t-2_inventory_rev,0.016902024
t_inventory_rev,0.016430702
t_log_total_assets,0.016410898
t-1_ni_delta_ta,0.016212087
t-1_leverage,0.016049191
t-1_roa,0.016006935
t_working_capital_ta,0.015979758
t-2_leverage,0.01591013
t-2_retained_earnings_ta,0.01581776
t-2_log_total_assets,0.015688619
t_ebitda_margin,0.014625199
t_rev_growth,0.014573967
t-1_working_capital_ta,0.014572609
t-2_opex_rev,0.014486305
t-2_log_revenue,0.014185386
t-1_mv_tl,0.013923528
t-1_debt_ebitda,0.01365418
t-1_assets_growth,0.0136129465
t-1_ebitda_margin,0.013518341
t-1_current_ratio,0.01344026
t-2_ebit_ta,0.013389917
t-1_ebit_ta,0.013280859
t-1_retained_earnings_ta,0.013215725
t_ni_delta_ta,0.013104864
t_retained_earnings_ta,0.012560184
t-1_rev_growth,0.012244501
t-2_roa,0.012166716
t-2_debt_ebitda,0.012146675
t-2_mv_tl,0.01211988
t-2_working_capital_ta,0.012047221
t-2_net_margin,0.01188445
t_assets_growth,0.011747779
t-2_ebitda_margin,0.011698945
t-2_current_ratio,0.0114017865
t-2_gross_margin,0.011371207
t-1_opex_rev,0.010880039
t-1_gross_margin,0.010797065
t-2_ni_delta_ta,0.0
t-2_assets_growth,0.0
t-2_rev_growth,0.0
